ParticipantID,StatementID,Rating,RatingType
6,37,3,Importance
6,38,5,Importance
6,39,5,Importance
6,40,5,Importance
6,41,3,Importance
6,42,5,Importance
6,43,5,Importance
6,44,4,Importance
6,45,5,Importance
6,46,5,Importance
6,47,4,Importance
6,48,5,Importance
6,49,5,Importance
6,50,5,Importance
6,51,5,Importance
6,52,5,Importance
6,53,5,Importance
6,54,5,Importance
6,55,5,Importance
6,56,3,Importance
6,57,5,Importance
6,58,5,Importance
6,59,5,Importance
6,60,4,Importance
6,61,3,Importance
6,62,4,Importance
6,63,5,Importance
6,64,5,Importance
6,65,5,Importance
6,66,5,Importance
6,67,5,Importance
6,68,5,Importance
6,69,5,Importance
6,70,5,Importance
6,71,4,Importance
6,72,5,Importance
6,73,5,Importance
6,74,5,Importance
6,75,5,Importance
6,76,4,Importance
6,77,5,Importance
6,78,3,Importance
6,79,4,Importance
6,80,4,Importance
6,81,5,Importance
6,82,5,Importance
6,83,5,Importance
6,84,5,Importance
6,85,5,Importance
6,86,5,Importance
6,87,2,Importance
6,88,2,Importance
6,89,5,Importance
6,90,3,Importance
6,91,5,Importance
6,92,5,Importance
6,93,5,Importance
6,94,5,Importance
6,95,5,Importance
6,96,5,Importance
6,97,1,Importance
6,98,5,Importance
6,99,4,Importance
6,100,5,Importance
6,1,5,Feasibility
6,2,5,Feasibility
6,3,4,Feasibility
6,4,4,Feasibility
6,5,3,Feasibility
6,6,2,Feasibility
6,7,5,Feasibility
6,8,3,Feasibility
6,9,5,Feasibility
6,10,4,Feasibility
6,11,5,Feasibility
6,12,3,Feasibility
6,13,2,Feasibility
6,14,3,Feasibility
6,15,3,Feasibility
6,16,3,Feasibility
6,17,2,Feasibility
6,18,4,Feasibility
6,19,5,Feasibility
6,20,4,Feasibility
6,21,5,Feasibility
6,22,5,Feasibility
6,23,5,Feasibility
6,24,4,Feasibility
6,25,2,Feasibility
6,26,3,Feasibility
6,27,4,Feasibility
6,28,3,Feasibility
6,29,4,Feasibility
6,30,4,Feasibility
6,31,2,Feasibility
6,32,3,Feasibility
6,33,2,Feasibility
6,34,5,Feasibility
6,35,3,Feasibility
6,36,3,Feasibility
6,38,5,Feasibility
6,39,4,Feasibility
6,40,3,Feasibility
6,41,4,Feasibility
6,42,4,Feasibility
6,43,5,Feasibility
6,44,3,Feasibility
6,45,4,Feasibility
6,46,2,Feasibility
6,47,3,Feasibility
6,48,1,Feasibility
6,49,1,Feasibility
6,50,4,Feasibility
6,51,4,Feasibility
6,52,3,Feasibility
6,53,2,Feasibility
